feature,importance
market_share,0.5912211946936401
demand_vs_historical,0.29304810073439147
store_sku_avg_demand,0.046652328195815954
week_of_year,0.0157301148092408
units_sold_roll_mean_28,0.01358016004569567
price_vs_avg,0.007911529151602412
units_sold_roll_mean_14,0.005024481184393251
price_ratio,0.005010644271982421
days_since_promo,0.0034986916986235453
day_of_week,0.0030739805901927888
month,0.002567092312580878
week_cos,0.002199932049152596
day_sin,0.002183868200586248
quarter,0.0020021951469139554
price_x_weekend,0.0019913731616912045
is_weekend,0.0014093286401796956
units_sold_roll_mean_7,0.0010112550995572376
units_sold_roll_min_28,0.0007060867095996457
day_of_month,0.0005970382183387154
weather_squared,0.0005806050858216091
